Region,Country,State,City,Hotel Name,Address,Rating,Number of Reviews,Weighted rating of each unique hotel,Average rating of this brand,Place ID,Google Maps Link,Loyalty Program,Number of hotels of this brand in the program,Corporation,Segment,Total hotels of Corporation / Loyalty Program in this region,Total hotels of Corporation / Loyalty Program in this country,Total hotels of brand in this region,Total hotels of brand in this country,Hotel Brand,Vibe Keywords,Travel Purpose Keywords
Africa,Algeria,-,Annaba,Sheraton Annaba Hotel,"Bd Victor Hugo, Annaba 23000, Algeria","4,2",1731,"3,400475282","4,176993166",ChIJv2aNcb0H8BIRBJ0gBxzWtuU,Open in Google Maps,Marriott Bonvoy,439,Marriott International,Comfort,33,4,11,2,Sheraton,"Business-oriented, classic & traditional, international standard, social spaces, proven quality, business comfort, universal elegance","Business Trips: global business, conference capabilities, communication hubs, workspaces; Family Travel: family leisure"
Africa,Algeria,-,Staoueli,Sheraton Club des Pins Resort,"Boite Postale 62, Staoueli 16101, Algeria","3,9",3550,"3,461591905","4,176993166",ChIJ8y01t0a7jxIRJImwb4GAdkc,Open in Google Maps,Marriott Bonvoy,439,Marriott International,Comfort,33,4,11,2,Sheraton,"Business-oriented, classic & traditional, international standard, social spaces, proven quality, business comfort, universal elegance","Business Trips: global business, conference capabilities, communication hubs, workspaces; Family Travel: family leisure"
Africa,Angola,-,Luanda,InterContinental Luanda Miramar by IHG,"Nehru 2, Luanda, Angola","4,6",612,"3,205579546","4,354852321",ChIJTze30onzURoRitKQRAClYC4,Відкрити в Google Maps,IHG One Rewards,237,InterContinental Hotels Group,Luxury,28,1,8,1,InterContinental Hotels & Resorts,"luxurious – classic & traditional, international elegance, global luxury, local flavor, diplomatic chic, exquisite gastronomy, cultural connections","Business Trips: global business opportunities, exclusive conference halls, international meetings; Relaxation: premium spa, sophisticated relaxation, luxury leisure"
Africa,Benin,-,Cotonou,ibis Cotonou,"Boulevard De La Marina, 08 Bp 0929, Cotonou, Benin","4,4",1667,"3,544415651","4,120402685",ChIJ231pHEhUIxAR8dTlX4tcMxE,Відкрити в Google Maps,ALL - Accor Live Limitless,745,Accor Hotels,Standart,66,2,23,1,Ibis Hotels,"Practical & economical, modern & design-focused, minimalist functionality, affordable modernity, basic comfort, urban style, economical quality, clear concept","Short Stays: quick check-in, efficient process, convenient location, urban accessibility; Business Trips: basic work conditions"
Africa,Benin,-,Cotonou,Novotel Cotonou Orisha,"Boulevard de la Marina, Cotonou, Benin","4,6",3978,"4,13974003","4,303107345",ChIJle-NADhUIxARPwN6brMxh7U,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,2,16,1,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Botswana,-,Gaborone,Hilton Garden Inn Gaborone,"Plot 54366 Western Commercial Rd, Gaborone, Botswana","4,4",998,"3,299522037","4,186748466",ChIJ_23O3QNbux4R4kLiKVtUOkg,Відкрити в Google Maps,Hilton Honors,815,Hilton Worldwide,Standart,44,1,9,1,Hilton Garden Inn,"Business-oriented, practical & economical, efficient design, work zones, fresh simplicity, hardworking comfort, convenient technologies, rational hospitality","Business Trips: productive workspaces, business center, technological solutions; Short Stays: quick service, efficient process"
Africa,Cameroon,-,Douala,ibis Douala,"184 Rue Pierre Loti, Douala, Cameroon","3,9",1169,"2,991481215","4,120402685",ChIJB5fTp-USYRARn6-HxxzDhL4,Відкрити в Google Maps,ALL - Accor Live Limitless,745,Accor Hotels,Standart,66,1,23,1,Ibis Hotels,"Practical & economical, modern & design-focused, minimalist functionality, affordable modernity, basic comfort, urban style, economical quality, clear concept","Short Stays: quick check-in, efficient process, convenient location, urban accessibility; Business Trips: basic work conditions"
Africa,Cameroon,-,Yaoundé,Hilton Yaounde,"Bd du 20 mai, Yaoundé, Cameroon","4,2",5093,"3,892411888","4,281617647",ChIJ9f__C4PPixARPCFdQmBylWY,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,1,26,1,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Cape Verde,-,Santa Maria,Hilton Cabo Verde Sal Resort,"Avenida dos Hoteis, Santa Maria 4111, Cape Verde","4,4",1633,"3,534577257","4,281617647",ChIJ0SdtyHJcSwkRHKufYAwzWA8,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,1,26,1,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Congo - Brazzaville,-,Pointe-Noire,DoubleTree By Hilton Pointe-Noire,"137 Av. Dr Denis Loemba, Pointe-Noire, Congo - Brazzaville","4,4",203,"2,540593184","4,11480315",ChIJNyHx2gClYBoRGkacGXb8DTQ,Відкрити в Google Maps,Hilton Honors,635,Hilton Worldwide,Comfort,44,2,6,1,DoubleTree by Hilton,"Cozy & family-friendly, business-oriented, warm hospitality, welcoming service, signature cookies, comfortable atmosphere, pleasant details, balanced experience","Family Travel: warm welcome, comfort for children, family amenities; Business Trips: effective workspaces, friendly business atmosphere"
Africa,Congo - Brazzaville,-,Brazzaville,Hilton Brazzaville Les Tours Jumelles Hotel & Residences,"Les Tours Jumelles De Mpila, Brazzaville, Congo - Brazzaville","4,6",14,"1,352504948","4,281617647",ChIJN9D57VgzahoR8vT4nTSJ-6k,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,2,26,1,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Congo - Kinshasa,-,Kinshasa,Novotel Kinshasa La Gombe,"76 Ave Bandundu, Kinshasa, Congo - Kinshasa","4,5",462,"2,998778615","4,303107345",ChIJ08XILUYzahoR0TbWfQSrby4,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,2,16,2,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Congo - Kinshasa,-,Lubumbashi,Novotel Lubumbashi,"01 Av. Mpala, Lubumbashi, Congo - Kinshasa","4,6",70,"2,128947101","4,303107345",ChIJyzbKqMA-chkRe7qK58Sax0c,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,2,16,2,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Congo - Kinshasa,-,Kinshasa,Hilton Kinshasa,"10 Ave Wagenia, Kinshasa, Congo - Kinshasa","4,6",297,"2,845348704","4,281617647",ChIJ2cprb4ozahoRkzjixTHH1GM,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,1,26,1,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Côte d’Ivoire,-,Abidjan,Novotel Abidjan Marcory,"Bd Valéry Giscard d'Estaing, Abidjan, Côte d’Ivoire","4,7",316,"2,938744633","4,303107345",ChIJSz0YjrXrwQ8RSO2ZDwPQSDo,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,2,16,2,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Côte d’Ivoire,-,Abidjan,Novotel Abidjan Plateau,"10 Avenue Du General De Gaulle, Abidjan, Côte d’Ivoire","4,2",3916,"3,77260125","4,303107345",ChIJL7versfrwQ8RWk8RKJipvmY,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,2,16,2,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Djibouti,-,Djibouti,Sheraton Djibouti,"Plateau de serpent Plateau de Serpent, Djibouti","3,8",662,"2,680437852","4,176993166",ChIJCQ_k3esAIxYRT5NmebJqnqg,Open in Google Maps,Marriott Bonvoy,439,Marriott International,Comfort,33,1,11,1,Sheraton,"Business-oriented, classic & traditional, international standard, social spaces, proven quality, business comfort, universal elegance","Business Trips: global business, conference capabilities, communication hubs, workspaces; Family Travel: family leisure"
Africa,Egypt,-,Hurghada,Mercure Hurghada Hotel,"Km 12 Hurghada - Safaga Rd, Hurghada 1, Red Sea Governorate 1962222, Egypt","4,7",13597,"4,856833168","3,972017354",ChIJYd-3-dyHUhQRCpC5Gf7uOVo,Відкрити в Google Maps,ALL - Accor Live Limitless,922,Accor Hotels,Comfort,66,8,12,2,Mercure Hotels,"Cozy & family-friendly, boutique & unique, local flavor, individual style, regional authenticity, cultural connection, unique character, European charm","Relaxation: local experience, regional flavor, authentic impressions; Family Travel: comfortable atmosphere, cultural immersion"
Africa,Egypt,-,Ismailia,Mercure Ismailia Forsan Island Hotel,"Al Temsah, Ismailia 1, Ismailia Governorate 41511, Egypt","4,5",6018,"4,251964886","3,972017354",ChIJCXShCEhZ-BQRb_vLoYWPtaA,Відкрити в Google Maps,ALL - Accor Live Limitless,922,Accor Hotels,Comfort,66,8,12,2,Mercure Hotels,"Cozy & family-friendly, boutique & unique, local flavor, individual style, regional authenticity, cultural connection, unique character, European charm","Relaxation: local experience, regional flavor, authentic impressions; Family Travel: comfortable atmosphere, cultural immersion"
Africa,Egypt,-,Cairo,Novotel Cairo Airport,"Cairo Airport, Sheraton Al Matar, El Nozha, Cairo Governorate 11776, Egypt","4,6",23607,"5,029018076","4,303107345",ChIJAdwnnAQXWBQRndlirhvlou8,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,8,16,5,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Egypt,-,Cairo,Novotel Cairo El Borg,"3 Saraya El, Gezira St, Zamalek, Cairo Governorate 11211, Egypt","4,6",9348,"4,566379934","4,303107345",ChIJeVp9RNBAWBQR2MSvGG4oVbs,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,8,16,5,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Egypt,-,Giza,Novotel Cairo 6th of October,"26 July Axis, First 6th of October, Giza Governorate 3237102, Egypt","4,4",4907,"4,059995009","4,303107345",ChIJS2ohC_VWWBQR1oirqcBV5b0,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,8,16,5,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Egypt,-,Marsa Alam,Novotel Marsa Alam Beach Resort,"19 Km South El Quessir Marsa Marsa Alam Road, 84721, Egypt","4,7",10557,"4,727708448","4,303107345",ChIJb9pQ5C_ITBQRRJ5frLMGmZs,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,8,16,5,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Egypt,-,Sharm El Sheikh,Novotel Sharm El Sheikh,"Naama Bay, Sharm Al Shiekh, South Sinai Governorate 46619, Egypt","4,8",17795,"5,100386876","4,303107345",ChIJ54gy-Ic3UxQRrvtk9hafSRI,Відкрити в Google Maps,ALL - Accor Live Limitless,354,Accor Hotels,Comfort,66,8,16,5,Novotel Hotels,"Cozy & family-friendly, modern & design-focused, functional comfort, family orientation, balanced design, versatility, democratic modernity, active recreation","Family Travel: child-friendly, family spaces, activities for all, comfortable leisure; Business Trips: functional workspaces"
Africa,Egypt,-,Cairo,Fairmont Nile City Hotel,"Nile City Towers 2005 B, Nile Corniche, Boulaq Num.1, Bulaq, Cairo Governorate 11311, Egypt","4,7",24002,"5,146811992","4,498837209",ChIJxxh4BfpAWBQR_OrLU6EDfj8,Відкрити в Google Maps,ALL - Accor Live Limitless,86,Accor Hotels,Luxury,66,8,9,1,Fairmont Hotels,"luxurious – classic & traditional, historic grandeur, landmark buildings, classic luxury, aristocratic elegance, atmospheric heritage, refined classic","Relaxation: historic luxury, spa rituals, wellness programs, sophisticated relaxation; Business Trips: prestigious events, elegant conferences"
Africa,Egypt,-,Sharks Bay,DoubleTree by Hilton Sharm El Sheikh - Sharks Bay Resort,"Ra's Nasrani, Sharks Bay, Concourd Hotel Entrance, South Sinai Governorate 46628, Egypt","4,3",9904,"4,295543566","4,11480315",ChIJhSe5-Pq1QRQRH9ax1zp1MgM,Відкрити в Google Maps,Hilton Honors,635,Hilton Worldwide,Comfort,44,13,6,1,DoubleTree by Hilton,"Cozy & family-friendly, business-oriented, warm hospitality, welcoming service, signature cookies, comfortable atmosphere, pleasant details, balanced experience","Family Travel: warm welcome, comfort for children, family amenities; Business Trips: effective workspaces, friendly business atmosphere"
Africa,Egypt,-,6th of October City,Hilton Pyramids Golf,"El Wahat Rd, First 6th of October, Giza Governorate 3291312, Egypt","4,4",9443,"4,372671576","4,281617647",ChIJY0UxsRHIXRQRJqHRK0aVn6k,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Alexandria,Hilton Alexandria Corniche,"544 El-Gaish Rd, Sidi Beshr Bahri, Montaza 1, Alexandria Governorate 21611, Egypt","4,4",9881,"4,394329335","4,281617647",ChIJBfyCPbDa9RQRUX-TBYjWfjk,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Alexandria,Hilton Alexandria Green Plaza,"14th of May Bridge Rd, Ezbet El-Nozha, Sidi Gaber, Alexandria Governorate 21648, Egypt","4,4",11710,"4,475453379","4,281617647",ChIJQWFW1rHE9RQREXduO7MbUN8,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Alexandria,Hilton Alexandria King's Ranch,"10.5 km, Cairo - Borg El-Arab Desert Rd, Ekeingy Maryout (Sharq WA Gharb), Alexandria Governorate, Egypt","4,6",5629,"4,313084654","4,281617647",ChIJqek71nmO9RQRDoJeTljm544,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Cairo,Hilton Cairo Grand Nile,"Nile Corniche, Old Cairo, Cairo Governorate 11519, Egypt","3,8",323,"2,38501776","4,281617647",ChIJeRR0GetHWBQR4Tn2IZ1LT28,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Cairo,Hilton Cairo Heliopolis,"El-Orouba, Sheraton Al Matar, El Nozha, Cairo Governorate 11361, Egypt","4,5",10081,"4,50399003","4,281617647",ChIJUYFpLCELRRQRzCxbUHFt6Vs,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Cairo,Hilton Cairo Nile Maadi,"47-B Nile Corniche, Athar an Nabi, Maadi, Cairo Governorate 11431, Egypt","4,4",175,"2,470063935","4,281617647",ChIJtQOIi8FHWBQR1jwumxtS_h4,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Cairo,Hilton Cairo Zamalek Residences,"21 Mohammed Mazhar, Zamalek, Cairo Governorate 11211, Egypt","4,3",4524,"3,929789977","4,281617647",ChIJaSJdFGVAWBQR4bTPhLeqoKU,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Hurghada,Hilton Hurghada Plaza,"Gabal El Hareem Street, Hurghada 2, Red Sea Governorate 84511, Egypt","4,5",5084,"4,169577327","4,281617647",ChIJNSpKp5OBUhQRKH4hZf3DCgE,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Luxor,Hilton Luxor Resort & Spa,"Karnak, Luxor, Luxor Governorate 85954, Egypt","4,6",2897,"3,981413138","4,281617647",ChIJx8V1SYQVSRQRUo4ZK01ndCg,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Marsa Alam,Hilton Marsa Alam Nubian Resort,"Al Qusair - Marsa Allam Road, km 97, Marsa Alam, Red Sea Governorate 84721, Egypt","4,6",6103,"4,353456704","4,281617647",ChIJ3wv_OCS7tBURpe-xUFjkIBc,Відкрити в Google Maps,Hilton Honors,544,Hilton Worldwide,Comfort,44,13,26,11,Hilton Hotels & Resorts,"Business-oriented, classic & traditional, reliable quality, international standard, uncompromising comfort, corporate trust, recognizable prestige","Business Trips: global business standard, conference facilities, corporate meetings, workspaces; Family Travel: international leisure"
Africa,Egypt,-,Cairo,Waldorf Astoria Cairo Heliopolis,"El-Orouba, Sheraton Al Matar, El Nozha, Cairo Governorate 11736, Egypt","4,7",638,"3,296463508","2269,514286",ChIJB22nETMXWBQRb3qTGrdhrpc,Відкрити в Google Maps,Hilton Honors,35,Hilton Worldwide,Luxury,44,13,2,1,Waldorf Astoria Hotels & Resorts,"luxurious – classic & traditional, historic grandeur, legendary heritage, iconic luxury, timeless elegance, classic grand hotel, aristocratic experience","Relaxation: elite spa, historic luxury, gastronomic experience, high-class leisure; Business Trips: prestigious events, status meetings"
Africa,Egypt,-,Giza,Hyatt Regency Cairo West,"Pyramids Heights Business Park, Km 22 Cairo - Alexandria Desert Rd, First 6th of October, Giza Governorate 3294722, Egypt","4,6",2238,"3,852562208","4,318333333",ChIJQcObIsZAWBQRUiY6ODDMReg,Відкрити в Google Maps,World of Hyatt,240,Hyatt Hotels Corporation,Comfort,17,1,10,1,Hyatt Regency,"Business-oriented, luxurious & refined, large-scale spaces, great opportunities, corporate elegance, business luxury, conference excellence, confident style","Business Trips: large-scale conferences, corporate events, powerful infrastructure, business efficiency; Relaxation: full service"
Africa,Egypt,-,Cairo,Holiday Inn & Suites Cairo Maadi by IHG,"29 A Nile Corniche, Maadi, Cairo Governorate 11431, Egypt","4,4",5778,"4,138037964","4,180408163",ChIJXTApr99BWBQRGx6rg5w5Z6o,Відкрити в Google Maps,IHG One Rewards,735,InterContinental Hotels Group,Comfort,28,7,15,3,Holiday Inn Hotels & Resorts,"Cozy & family-friendly, practical & economical, traditional hospitality, friendly atmosphere, comfort for all, family accessibility, reliable leisure, simple pleasures","Family Travel: child-friendly, family entertainment, comfortable leisure, kids eat free; Short Stays: convenient location"
